Volume ID	Disk Type	Size (GB)	InstanceID	Device	InstanceName	IP Address	Owner
vol-656806b1	sc1	2000	None	None	#N/A	#N/A	
vol-0627400f7c261a6a0	gp2	621	i-08f799ec41a628294	xvdg	BDBPaidServer-5-new	10.0.1.56	Palani
vol-0ea0de67a73988ddf	gp2	85	i-08f799ec41a628294	xvdh	BDBPaidServer-5-new	10.0.1.56	Palani
vol-08d700db980777766	gp2	30	i-053cab682c46c1631	/dev/sda1	Azure2Aws-VPN-Final--Dont Terminate	10.0.0.184	IT
vol-010bd1a1cbb29da5f	st1	502	i-053cab682c46c1631	xvdf	Azure2Aws-VPN-Final--Dont Terminate	10.0.0.184	IT
vol-07a33bcb52b6fc025	gp2	566	i-08f799ec41a628294	xvdj	BDBPaidServer-5-new	10.0.1.56	Palani
vol-0c8ede21719cfeb8e	gp2	99	i-0c43633d3eb12ab2c	/dev/sda1	GF-ELBServerNew-1(2016)	10.0.0.54	None
vol-02e6765549a014f6f	standard	45	i-0c43633d3eb12ab2c	xvdf	GF-ELBServerNew-1(2016)	10.0.0.54	None
vol-066f0e30036d37a41	gp2	99	i-03b16d4298b5ce353	/dev/sda1	GF-ELBServerNew-2(2016)	10.0.0.49	None
vol-0c1068c39e090e86c	standard	49	i-03b16d4298b5ce353	xvdf	GF-ELBServerNew-2(2016)	10.0.0.49	None
vol-08d51475fcd338b55	gp2	20	i-0e551b8d4714f10a4	/dev/sda1	OnPremise-AWS VPN	10.0.0.165	IT
vol-05fc44fc680c2cb86	gp2	8	i-0c57a7a6b9ef97a94	/dev/xvda	Singapore-VPN	10.0.0.174	IT
vol-00f630c4cc758e24e	gp2	100	i-08f799ec41a628294	/dev/sda1	BDBPaidServer-5-new	10.0.1.56	Palani
vol-05c2151b6dab8b6ac	gp2	125	i-0b8c7cf8fda0db0e3	/dev/sda1	Backup-RestoreExport-2	10.0.0.48	Palani
vol-0c0b3522cf28ffcae	gp2	99	i-01c1e78a9e31c89a1	/dev/sda1	FeedSyncServer-1-OD	10.0.0.159	Gowtham
vol-088df6959892ce9e0	gp2	99	i-099fb1401f47491e0	/dev/sda1	FeedSyncServer-2	10.0.0.37	Gowtham
vol-0a09a731b9993f6a6	gp2	99	i-0422207c9a6c9e68d	/dev/sda1	FeedSyncServer-3	10.0.0.208	Gowtham
vol-0c10b07970247db5c	gp2	99	i-093e844b624e33685	/dev/sda1	Backup-S3Mover	10.0.0.202	Palani
vol-0c01084a09990e06c	gp2	100	i-0372a06dd5174b14a	/dev/sda1	BPaidAppServer-L1	10.0.0.151	Palani
vol-0b173009f11b5347c	standard	99	i-092e888bdd0857ab9	/dev/sda1	Backup-100-Gmail	10.0.0.146	Palani
vol-081490c21b13afa10	standard	99	i-078eb949a4b700ee8	/dev/sda1	Backup-100	10.0.0.250	Palani
vol-0fc0bca44c94b1449	standard	99	i-041cbe892670b102f	/dev/sda1	Backup-100-Drive	10.0.0.41	Palani
vol-00bce91f768525e84	gp2	100	i-0aa3227a61f671c1b	/dev/sda1	BPaidAppServer-L2	10.0.0.108	Palani
vol-09a9d25dd00767f6e	gp2	250	i-015b440c258456c5d	xvdf	O365-Fareportal-1	10.0.0.76	Gokul
vol-0ce171ee64ee6f092	gp2	451	i-0d9e0bd6fe9c85278	xvdf	O365-Fareportal-2	10.0.0.167	Gokul
vol-080917b0222ea8a33	gp2	100	i-0ef6df4c6315ef15b	/dev/sda1	BPaidAppServer-L3	10.0.0.118	Palani
vol-0abd2b2888b9de20d	standard	99	i-0ceec518f5a3236c8	/dev/sda1	BPaidAppServer-1	10.0.0.7	Palani
